"CREATE_DATE","COMPLETE_DATE","X_COORD","Y_COORD","CALL_CNT"
2014-04-23,2014-05-02,1130777.45,1861287.658,1
2014-04-23,2014-05-05,1166214.45,1882537.61,1
2014-04-23,2014-05-05,1164298.161,1880022.442,1
2014-04-23,2014-05-06,1161029.773,1866111.77,1
2014-04-23,2014-05-06,1158893.559,1929875.634,1
2014-04-23,2014-05-06,1156780.913,1901867.023,1
2014-04-23,2014-05-01,1169949.915,1914161.702,1
2014-04-23,2014-05-01,1157699.51,1929454.96,1
2014-04-24,2014-04-24,1159176.216,1887972.564,1
2014-04-24,2014-04-24,1165688.97,1938632.3,1
2014-04-24,2014-04-24,1167012.23,1853657.953,1
2014-04-24,2014-04-24,1136134.747,1911057.497,1
2014-04-24,2014-04-24,1183290.336,1875371.433,1
2014-04-24,2014-04-25,1145688.793,1917493.23,1
2014-04-24,2014-04-25,1151830.727,1884945.528,1
2014-04-24,2014-04-25,1155940.09,1928505.796,1
2014-04-24,2014-04-25,1132893.079,1933532.95,1
2014-04-24,2014-04-25,1165285.9,1928961.21,1
2014-04-24,2014-04-25,1176610.761,1875841.988,1
2014-04-24,2014-04-25,1162900.354,1933830.881,1
2014-04-24,2014-04-25,1173364.69,1920252.873,1
2014-04-24,2014-04-28,1201738.962,1818013.163,1
2014-04-24,2014-04-28,1143197.106,1931807.604,1
2014-04-24,2014-04-28,1172263.448,1879501.49,1
2014-04-24,2014-04-29,1155108.523,1849348.592,1
2014-04-24,2014-04-29,1145644.38,1940753.369,1
2014-04-24,2014-04-30,1152454.193,1933966.173,1
2014-04-24,2014-08-02,1137298.788,1898836.206,1
2014-04-24,2014-06-30,1192521.558,1854893.377,1
2014-04-24,2014-06-19,1172163.623,1835522.964,1
2014-04-24,2014-06-11,1180011.54,1830093.302,1
2014-04-24,2014-06-12,1188685.102,1851179.921,1
2014-04-24,2014-06-12,1178975.406,1838699.371,1
2014-04-24,2014-06-12,1142188.24,1867641.472,1
2014-04-24,2014-06-12,1139018.42,1866124.287,1
2014-04-24,2014-06-12,1140558.275,1918334.964,1
2014-04-24,2014-06-12,1189125.013,1857241.09,1
2014-04-24,2014-06-12,1160405.939,1829447.441,1
2014-04-24,2014-06-12,1158466.3,1836526.76,1
2014-04-24,2014-06-03,1169211.981,1835129.456,1
2014-04-24,2014-06-06,1172737.878,1850241.798,1
2014-04-24,2014-05-29,1165141.851,1873433.152,1
2014-04-24,2014-05-13,1149242.62,1905056.846,1
2014-04-24,2014-05-15,1147042.179,1915602.902,1
2014-04-24,2014-05-19,1144002.974,1901147.744,1
2014-04-24,2014-05-08,1150098.72,1887383.85,1
2014-04-24,2014-05-08,1129677.329,1920491.599,1
2014-04-24,2014-05-08,1194873.938,1853751.03,1
2014-04-24,2014-05-08,1158120.878,1878010.3,1
2014-04-24,2014-05-08,1163908.107,1889757.411,1
2014-04-24,2014-05-02,1171295.67,1913221.01,1
2014-04-24,2014-05-06,1154114.675,1908807.791,1
2014-04-24,2014-05-06,1161253.59,1929528.31,1
